Day,Susceptible,Infected,Recovered
1,999,1,0
2,998,2,0
3,995,5,0
4,994,5,1
5,993,6,1
6,987,11,2
7,983,15,2
8,978,17,5
9,974,19,7
10,970,21,9
11,960,29,11
12,957,27,16
13,953,30,17
14,951,30,19
15,948,30,22
16,939,37,24
17,930,39,31
18,928,39,33
19,925,34,41
20,918,39,43
21,914,38,48
22,902,46,52
23,893,50,57
24,880,59,61
25,863,71,66
26,838,89,73
27,807,112,81
28,795,107,98
29,777,112,111
30,760,118,122
31,736,129,135
32,720,124,156
33,698,138,164
34,680,139,181
35,656,146,198
36,635,155,210
37,616,162,222
38,597,161,242
39,571,177,252
40,549,182,269
41,528,187,285
42,506,186,308
43,479,197,324
44,461,194,345
45,439,203,358
46,420,205,375
47,393,225,382
48,366,226,408
49,342,219,439
50,324,210,466
51,310,205,485
52,294,200,506
53,278,197,525
54,261,193,546
55,244,188,568
56,226,189,585
57,209,186,605
58,190,181,629
59,167,174,659
60,154,168,678
61,147,154,699
62,136,153,711
63,131,144,725
64,124,133,743
65,115,125,760
66,107,128,765
67,106,118,776
68,103,109,788
69,93,107,800
70,89,96,815
71,84,88,828
72,83,78,839
73,81,67,852
74,81,61,858
75,81,51,868
76,79,49,872
77,77,42,881
78,75,39,886
79,74,34,892
80,74,28,898
81,72,29,899
82,72,25,903
83,71,22,907
84,71,22,907
85,71,22,907
86,71,19,910
87,70,18,912
88,70,14,916
89,69,14,917
90,69,13,918
91,69,13,918
92,68,13,919
93,67,11,922
94,66,12,922
95,66,12,922
96,65,12,923
97,65,10,925
98,65,9,926
99,65,9,926
100,65,8,927
