Day,Susceptible,Infected,Recovered
1,999,1,0
2,964,36,0
3,868,128,4
4,771,217,12
5,685,283,32
6,631,304,65
7,563,338,99
8,515,363,122
9,455,386,159
10,404,387,209
11,362,387,251
12,326,384,290
13,288,386,326
14,254,375,371
15,229,370,401
16,200,360,440
17,181,349,470
18,161,339,500
19,148,327,525
20,139,308,553
21,127,295,578
22,111,282,607
23,94,266,640
24,81,252,667
25,67,243,690
26,61,225,714
27,54,203,743
28,50,183,767
29,44,165,791
30,39,148,813
31,39,136,825
32,35,134,831
33,33,123,844
34,29,114,857
35,26,107,867
36,24,97,879
37,20,93,887
38,18,82,900
39,14,79,907
40,11,78,911
41,10,71,919
42,8,69,923
43,8,66,926
44,8,57,935
45,7,53,940
46,7,49,944
47,6,46,948
48,6,44,950
49,5,40,955
50,5,37,958
51,5,31,964
52,5,28,967
53,5,26,969
54,4,25,971
55,4,22,974
56,4,17,979
57,3,16,981
58,3,13,984
59,3,13,984
60,3,12,985
61,3,11,986
62,2,11,987
63,1,11,988
64,1,11,988
65,1,11,988
66,1,10,989
67,1,8,991
68,0,8,992
69,0,6,994
70,0,6,994
71,0,4,996
72,0,4,996
73,0,4,996
74,0,4,996
75,0,4,996
76,0,3,997
77,0,3,997
78,0,3,997
79,0,3,997
80,0,3,997
81,0,3,997
82,0,2,998
83,0,2,998
84,0,2,998
85,0,2,998
86,0,2,998
87,0,2,998
88,0,2,998
89,0,2,998
90,0,2,998
91,0,2,998
92,0,1,999
93,0,1,999
94,0,1,999
95,0,1,999
96,0,1,999
97,0,1,999
98,0,0,1000
99,0,0,1000
100,0,0,1000
