Day,Susceptible,Infected,Recovered
1,999,1,0
2,999,1,0
3,999,1,0
4,999,1,0
5,999,1,0
6,998,2,0
7,997,3,0
8,996,3,1
9,995,4,1
10,994,5,1
11,994,5,1
12,992,6,2
13,992,5,3
14,991,5,4
15,990,5,5
16,987,8,5
17,986,9,5
18,985,8,7
19,984,9,7
20,984,8,8
21,984,8,8
22,982,9,9
23,981,10,9
24,979,11,10
25,978,12,10
26,976,12,12
27,974,11,15
28,974,11,15
29,974,11,15
30,972,13,15
31,971,13,16
32,971,10,19
33,971,10,19
34,970,10,20
35,968,8,24
36,967,9,24
37,967,9,24
38,966,10,24
39,965,9,26
40,965,8,27
41,963,10,27
42,963,10,27
43,962,9,29
44,962,7,31
45,962,7,31
46,961,7,32
47,961,6,33
48,961,5,34
49,961,5,34
50,961,5,34
51,961,5,34
52,960,5,35
53,960,5,35
54,960,4,36
55,960,3,37
56,960,3,37
57,960,2,38
58,960,2,38
59,960,2,38
60,960,2,38
61,960,2,38
62,960,2,38
63,960,1,39
64,960,1,39
65,960,0,40
66,960,0,40
67,960,0,40
68,960,0,40
69,960,0,40
70,960,0,40
71,960,0,40
72,960,0,40
73,960,0,40
74,960,0,40
75,960,0,40
76,960,0,40
77,960,0,40
78,960,0,40
79,960,0,40
80,960,0,40
81,960,0,40
82,960,0,40
83,960,0,40
84,960,0,40
85,960,0,40
86,960,0,40
87,960,0,40
88,960,0,40
89,960,0,40
90,960,0,40
91,960,0,40
92,960,0,40
93,960,0,40
94,960,0,40
95,960,0,40
96,960,0,40
97,960,0,40
98,960,0,40
99,960,0,40
100,960,0,40
