Day,Susceptible,Infected,Recovered
1,2399,1,0
2,2397,3,0
3,2394,6,0
4,2392,8,0
5,2390,10,0
6,2387,13,0
7,2382,17,1
8,2379,18,3
9,2373,21,6
10,2368,23,9
11,2363,27,10
12,2355,32,13
13,2349,36,15
14,2343,37,20
15,2338,38,24
16,2330,42,28
17,2323,43,34
18,2315,47,38
19,2307,50,43
20,2300,52,48
21,2294,52,54
22,2281,59,60
23,2269,63,68
24,2257,70,73
25,2241,73,86
26,2228,81,91
27,2216,79,105
28,2197,90,113
29,2180,95,125
30,2164,102,134
31,2152,107,141
32,2137,117,146
33,2118,121,161
34,2093,137,170
35,2071,153,176
36,2052,155,193
37,2030,159,211
38,2006,165,229
39,1978,184,238
40,1961,185,254
41,1935,197,268
42,1913,202,285
43,1891,199,310
44,1864,200,336
45,1834,210,356
46,1802,222,376
47,1765,233,402
48,1737,237,426
49,1709,235,456
50,1667,249,484
51,1636,259,505
52,1602,268,530
53,1567,271,562
54,1534,277,589
55,1500,281,619
56,1470,283,647
57,1433,293,674
58,1392,313,695
59,1355,320,725
60,1318,318,764
61,1287,317,796
62,1239,326,835
63,1198,336,866
64,1155,348,897
65,1106,362,932
66,1052,382,966
67,1011,385,1004
68,973,386,1041
69,932,380,1088
70,897,369,1134
71,863,371,1166
72,827,380,1193
73,798,371,1231
74,760,374,1266
75,733,352,1315
76,703,351,1346
77,672,346,1382
78,639,346,1415
79,612,334,1454
80,577,335,1488
81,548,335,1517
82,525,328,1547
83,501,318,1581
84,467,325,1608
85,440,330,1630
86,407,326,1667
87,379,334,1687
88,349,326,1725
89,322,328,1750
90,290,329,1781
91,268,331,1801
92,251,319,1830
93,225,299,1876
94,197,307,1896
95,175,298,1927
96,157,294,1949
97,143,283,1974
98,129,260,2011
99,111,251,2038
100,98,243,2059
