Day,Susceptible,Infected,Recovered
1,999,1,0
2,963,37,0
3,701,295,4
4,341,629,30
5,172,736,92
6,88,753,159
7,47,743,210
8,27,685,288
9,12,625,363
10,9,560,431
11,4,516,480
12,3,472,525
13,3,432,565
14,1,399,600
15,0,356,644
16,0,318,682
17,0,288,712
18,0,259,741
19,0,234,766
20,0,217,783
21,0,201,799
22,0,182,818
23,0,174,826
24,0,156,844
25,0,145,855
26,0,130,870
27,0,121,879
28,0,107,893
29,0,97,903
30,0,88,912
31,0,79,921
32,0,72,928
33,0,61,939
34,0,56,944
35,0,52,948
36,0,49,951
37,0,43,957
38,0,39,961
39,0,37,963
40,0,30,970
41,0,29,971
42,0,25,975
43,0,22,978
44,0,21,979
45,0,19,981
46,0,19,981
47,0,17,983
48,0,12,988
49,0,12,988
50,0,12,988
51,0,12,988
52,0,10,990
53,0,9,991
54,0,5,995
55,0,4,996
56,0,4,996
57,0,4,996
58,0,4,996
59,0,4,996
60,0,4,996
61,0,4,996
62,0,3,997
63,0,3,997
64,0,3,997
65,0,2,998
66,0,2,998
67,0,2,998
68,0,2,998
69,0,2,998
70,0,1,999
71,0,1,999
72,0,1,999
73,0,1,999
74,0,1,999
75,0,1,999
76,0,1,999
77,0,1,999
78,0,1,999
79,0,1,999
80,0,1,999
81,0,1,999
82,0,0,1000
83,0,0,1000
84,0,0,1000
85,0,0,1000
86,0,0,1000
87,0,0,1000
88,0,0,1000
89,0,0,1000
90,0,0,1000
91,0,0,1000
92,0,0,1000
93,0,0,1000
94,0,0,1000
95,0,0,1000
96,0,0,1000
97,0,0,1000
98,0,0,1000
99,0,0,1000
100,0,0,1000
